Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2013/5/21,847211,133276,165513,42428,78013,182359,115102,79416,50460,46035,19788,225232,794892,800780,52320,46431
2013/5/28,691958,99639,134492,42194,65305,133222,119407,71311,32637,49113,42006,165297,641509,644269,50449,47689
2013/6/4,659936,91473,122436,40571,75239,118803,116610,59497,33079,51699,43958,165739,617974,618751,41962,41186
2013/6/11,677874,92528,118740,43481,77601,120709,119134,64355,35696,51416,45968,172567,635530,635635,42344,42240
2013/6/18,689311,96315,112162,44389,73120,129589,112281,73330,37203,50248,45856,175528,645554,646787,43757,42524
2013/6/25,694750,105070,119312,44612,66382,128356,108224,77027,41155,49937,48265,174114,651469,654612,43281,40137
2013/7/2,776879,119172,129832,41790,65884,155740,112449,78148,51729,48456,51469,202110,731445,734911,45434,41968
2013/7/9,808703,131899,141946,45273,66727,161119,115838,80147,51536,48023,55868,210263,763951,767608,44751,41095
2013/7/16,823667,147808,158463,43066,75644,169721,116537,61002,46588,45900,60303,209181,778800,780902,44867,42766
2013/7/23,830568,147443,158123,37096,84473,166961,122496,52429,49542,47857,60146,214078,785473,785752,45095,44817
2013/7/30,723932,130159,135468,39621,84057,131282,121521,56004,35296,45596,59252,181262,684738,682621,39194,41311
2013/8/6,738021,129863,134377,38146,109846,149762,118938,70835,37720,45694,20902,176013,696135,699455,41886,38566
2013/8/13,731908,126163,135059,35670,116724,149728,115363,58759,38823,46385,20706,175689,687822,695489,44086,36419
2013/8/20,747070,114965,132492,30768,123524,158028,124294,51078,41449,50297,20617,183712,703513,710900,43557,36170
2013/8/27,723116,107524,136084,29166,136760,154916,129990,32088,38255,50526,22211,168819,679196,689133,43920,33983
2013/9/3,739479,107955,140539,30873,140271,159018,130734,29338,36625,50144,23876,175044,690392,704711,49087,34768
2013/9/10,721444,111568,133448,33211,134132,160407,117140,32211,35880,45717,19981,173147,677069,689204,44376,32240
2013/9/17,738604,114574,128415,39308,127365,165852,109217,39104,38463,45451,21735,180193,693059,701127,45545,37477
2013/9/24,729363,112584,128373,35219,126379,166217,111170,32516,35171,44229,22934,182019,686608,693609,42754,35754
2013/10/1,689447,119458,128073,33913,130151,148097,108238,35300,31429,46475,21911,158619,646229,653580,43218,35866
2013/10/8,687618,117167,133307,30345,133546,150087,109368,24702,32256,45227,19851,159747,644196,653498,43422,34120
2013/10/15,715953,121937,131280,35992,116235,162204,107164,44638,32964,44639,23053,167139,672038,677512,43915,38441
2013/10/22,715600,118685,138258,30571,124590,160320,116333,36972,34500,47085,17996,165482,672977,678118,42624,37482
2013/10/29,695510,117944,144069,29668,138669,150982,120058,19351,32470,47480,19612,154585,653187,659738,42323,35773
2013/11/5,695794,114371,141919,36997,129026,152887,114179,26490,32331,47239,18670,156470,654472,657792,41322,38002
2013/11/12,724276,116571,136120,45232,115790,158774,109599,54143,36576,47553,18306,163606,677911,683316,46365,40960
2013/11/19,724803,112988,125300,46517,111364,161390,106880,62589,37822,47802,20253,166865,680264,685583,44539,39220
2013/11/26,636307,113179,106980,39297,99666,135878,106699,74964,30148,44419,23927,124686,594307,596249,42000,40058
2013/12/3,641036,111395,99706,36432,96673,139298,106405,79631,31670,44745,22983,128557,598502,598518,42534,42518
2013/12/10,629838,107216,97931,35468,103939,135247,107761,74312,29390,45009,21555,127836,587926,590210,41911,39627
2013/12/17,656536,113633,103270,38162,104655,141739,107723,75199,33027,44334,22331,135702,614318,615921,42218,40615
2013/12/24,667491,112056,100488,36626,101926,148315,104754,76052,36842,46502,20618,140392,625487,624633,42004,42858
2013/12/31,628586,107862,100802,35312,101281,135972,106675,72571,30821,45777,21566,124403,586822,587415,41764,41171
2014/1/7,630115,108812,104658,35227,107634,131564,108936,68707,33061,47335,21085,123517,588453,590227,41662,39887
2014/1/14,664721,125183,118496,35737,113572,137547,114002,70725,31355,48703,21016,131143,623670,623855,41052,40867
2014/1/21,663764,129859,123739,36312,113179,135896,113823,70470,31493,48430,19506,127528,623340,621811,40423,41953
2014/1/28,608056,106294,116807,34755,113149,128741,120096,59424,27105,47600,17996,106623,571214,569844,36841,38211
2014/2/4,602247,107788,114144,32520,115338,121665,119256,59848,30813,46031,17064,108573,566646,567446,35600,34800
2014/2/11,617237,103829,113004,34737,125536,119333,129791,60500,31724,47573,17875,110593,577581,578566,39656,38672
2014/2/18,657075,96844,126109,35376,131939,128070,140840,49898,39006,49671,20928,123424,613230,619373,43845,37702
2014/2/25,637838,92455,132019,33235,143494,124680,144907,30996,33589,48767,21363,116853,594484,602993,43354,34845
2014/3/4,656664,92207,138534,36073,142784,130550,144562,26321,40713,49192,20095,121704,615001,620700,41663,35964
2014/3/11,684249,87836,137148,36723,145524,142240,144080,21073,42776,49129,19869,136495,639279,645125,44971,39125
2014/3/18,711980,90011,154673,36749,152448,146716,151939,13510,42927,50946,17170,147588,666876,675033,45104,36948
2014/3/25,675535,86984,115188,34299,162666,144800,137231,17189,41952,47401,21912,138566,631233,642272,44302,33263
2014/4/1,607938,78211,103494,36544,152975,122606,129095,22741,35556,45094,24328,115857,562964,577556,44975,30383
2014/4/8,614585,77976,104387,37748,145337,131431,122701,24209,35004,45795,23400,120099,570754,583868,43830,30716
2014/4/15,628029,81537,99304,37226,140840,138590,117935,27798,35806,47944,24524,126237,585277,593098,42752,34930
2014/4/22,632178,82751,100058,40026,142065,142649,117199,26627,34120,45798,25711,126404,588946,597634,43232,34543
