,close,high,low,ma10,ma20,ma5,ma5-ma20,ma60,open,vol
2011-08-30,934.19,960.15,933.82,933.55,925.15,944.84,2.12830351835,890.52,957.29,4772780.0
2011-08-31,921.5,936.1,911.82,932.08,923.95,941.09,1.85507873803,891.8,931.79,3969353.0
2011-09-01,917.75,930.19,913.16,932.29,922.96,936.06,1.41934645055,893.29,921.97,3455754.0
2011-09-02,909.85,918.59,902.48,932.03,922.5,927.46,0.537669376694,894.72,916.07,3296039.0
2011-09-05,883.87,902.37,883.46,929.36,922.82,913.43,-1.01753321341,895.63,902.37,3247565.0
2011-09-06,874.74,884.61,869.81,923.19,922.62,901.54,-2.2847976415,896.24,876.71,3094362.0
2011-09-07,899.61,899.61,877.78,919.13,923.01,897.16,-2.8006197116,897.44,877.87,3146188.0
2011-09-08,891.93,909.88,891.52,914.03,921.83,892.0,-3.23595456863,898.79,903.25,3276209.0
2011-09-09,881.58,895.85,877.53,906.9,919.6,886.34,-3.61678990866,900.11,889.47,2616606.0
2011-09-13,861.92,870.04,858.91,897.69,915.57,881.96,-3.67093723036,901.28,870.04,2287849.0
2011-09-14,876.95,877.04,855.34,891.97,912.76,882.39,-3.3272711337,902.63,864.08,2420365.0
2011-09-15,875.86,885.71,875.68,887.41,909.74,877.65,-3.52738144964,904.04,877.93,2623923.0
2011-09-16,874.88,883.1,873.55,883.12,907.7,874.24,-3.68623994712,905.05,878.56,2803521.0
2011-09-19,854.71,871.88,854.64,877.61,904.82,868.87,-3.97316593356,905.42,871.88,2374811.0
2011-09-20,856.81,861.18,846.03,874.9,902.13,867.84,-3.80100428985,905.63,850.97,2097516.0
2011-09-21,881.03,881.56,854.29,875.53,899.36,868.66,-3.41353851628,906.25,856.8,3279914.0
2011-09-22,852.92,879.1,852.92,870.86,894.99,864.07,-3.45478720433,906.52,876.25,3121393.0
2011-09-23,843.48,848.27,833.77,866.01,890.02,857.79,-3.62126693782,906.48,840.18,2640321.0
2011-09-26,829.35,848.82,826.83,860.79,883.85,852.71,-3.52322226622,906.05,842.0,2248383.0
2011-09-27,830.88,839.19,822.84,857.69,877.69,847.53,-3.43629299639,905.3,833.64,2753487.0
