      date,    open,    high,    low,    close,         vol,  ma5  ,  ma10  ,  ma20   ,   ma60  ,ma5-ma20
 2011/07/13,1973.08,2003.81,1973.08,1998.41,20243312,1999.6,2005.4,1977.15,2016.37,1.135472776
 2011/07/14,2002.46,2012.39,1992.82,2005.75,22350140,1999.5,2007.05,1981.09,2013.93,0.929286403
 2011/07/15,1998.58,2014.25,1992.2,2012.03,20772348,1998.95,2009.63,1986.06,2011.72,0.649023695
 2011/07/18,2013.46,2014.71,1996.78,2002.83,19234450,1997.45,2006.55,1990.97,2009.1,0.325469495
 2011/07/19,1994.38,1997.52,1983.96,1988.3,18934542,2001.45,2002.43,1994.2,2006.37,0.363554307
 2011/07/20,1999.84,2002.2,1974.37,1983.67,15857211,1998.55,1999.07,1997.2,2003.97,0.067594632
 2011/07/21,1984.75,1989.42,1959.85,1961.3,16302293,1989.65,1994.57,1997.72,2001.36,-0.403960515
 2011/07/22,1966.12,1974.49,1959.76,1964.83,12873319,1980.2,1989.57,1996.1,1998.89,-0.796553279
 2011/07/25,1954.31,1955.19,1904.44,1909.81,24480686,1961.55,1979.5,1991.85,1995.53,-1.521198885
 2011/07/26,1909.33,1919.61,1904.56,1914.15,14066929,1946.75,1974.1,1987.88,1992.2,-2.069038373
 2011/07/27,1905.04,1920.32,1899.2,1918.79,17164596,1933.75,1966.15,1985.78,1988.94,-2.620129118
 2011/07/28,1902.93,1906.67,1886.9,1900.22,17169584,1921.55,1955.6,1981.32,1986.33,-3.016675752
 2011/07/29,1901.95,1926.19,1885.63,1908.21,18469802,1910.25,1945.22,1977.43,1983.97,-3.39733897
 2011/08/01,1905.9,1919.88,1898.37,1909.95,12165634,1910.3,1935.93,1971.24,1981.84,-3.091455125
 2011/08/02,1897.2,1897.2,1874.56,1894.32,12529351,1906.3,1926.53,1964.47,1979.46,-2.961104013
 2011/08/03,1879.82,1901.71,1877.49,1893,12677866,1901.15,1917.45,1958.26,1976.72,-2.916364528
 2011/08/04,1898.45,1911.51,1890.91,1895.43,10030752,1900.2,1910.88,1952.72,1974.17,-2.689581712
 2011/08/05,1849.91,1863.63,1841.01,1850.14,18228960,1888.55,1899.4,1944.49,1971.32,-2.876846885
