date,close-5y,close-10y,10y-5y,5f-10f,5y-close-open,10y-close-open
2016-02-02,100.54,99.92,0.1323,0.62,-0.22,-0.42
2016-02-03,100.62,100.07,0.141,0.55,0.115,0.39
2016-02-04,100.735,99.535,0.1238,1.2,0.12,0.145
2016-02-05,100.405,99.66,0.1256,0.745,0.035,0.115
2016-02-15,100.69,100.185,0.1574,0.505,0.195,0.195
2016-02-16,100.47,99.77,0.1287,0.7,-0.13,-0.35
2016-02-17,100.46,99.78,0.1207,0.68,0.055,0.015
2016-02-18,100.53,99.89,0.1298,0.64,0.09,0.17
2016-02-19,100.46,99.765,0.125,0.695,-0.045,-0.175
2016-02-22,100.39,99.695,0.1739,0.695,-0.075,-0.025
2016-02-23,100.35,99.605,0.1872,0.745,-0.04,-0.085
2016-02-24,100.35,99.51,0.2178,0.84,0.0,-0.09
2016-02-25,100.28,99.345,0.2,0.935,-0.065,-0.105
2016-02-26,100.405,99.42,0.2052,0.985,0.115,0.075
2016-02-29,100.475,99.46,0.2048,1.015,0.09,0.085
2016-03-01,100.58,99.385,0.2325,1.195,0.095,-0.265
2016-03-02,100.405,99.135,0.2535,1.27,-0.155,-0.215
2016-03-03,100.215,98.96,0.2626,1.255,-0.175,-0.13
2016-03-04,100.37,99.085,0.2675,1.285,0.14,0.195
2016-03-07,100.1,98.695,0.2809,1.405,-0.245,-0.295
2016-03-08,100.235,98.82,0.275,1.415,0.2,0.27
2016-03-09,100.41,99.135,0.2684,1.275,0.14,0.145
2016-03-10,100.57,99.42,0.2604,1.15,0.07,0.12
2016-03-11,100.76,99.79,0.2726,0.97,0.19,0.39
2016-03-14,100.69,99.65,0.2613,1.04,-0.05,-0.04
2016-03-15,100.685,99.71,0.2565,0.975,-0.005,0.085
2016-03-16,100.8,99.985,0.2461,0.815,0.115,0.285
2016-03-17,100.63,99.695,0.2494,0.935,-0.17,-0.305
2016-03-18,100.655,99.68,0.2675,0.975,0.045,-0.005
2016-03-21,100.54,99.51,0.2621,1.03,-0.1,-0.09
2016-03-22,100.63,99.625,0.2665,1.005,0.11,0.18
2016-03-23,100.62,99.645,0.2818,0.975,0.02,0.015
2016-03-24,100.72,99.855,0.3011,0.865,0.12,0.18
2016-03-25,100.775,99.815,0.313,0.96,0.085,0.04
2016-03-28,100.71,99.615,0.3326,1.095,0.00999999999999,-0.105
2016-03-29,101.0,99.805,0.3357,1.195,0.29,0.2
2016-03-30,101.075,99.8,0.3644,1.275,0.12,-0.025
2016-03-31,101.01,99.8,0.3699,1.21,-0.11,-0.00500000000001
2016-04-01,101.055,99.87,0.3706,1.185,0.1,0.13
2016-04-05,100.875,99.63,0.3761,1.245,-0.185,-0.295
2016-04-06,100.86,99.575,0.3725,1.285,-0.035,-0.075
2016-04-07,100.85,99.475,0.4102,1.375,-0.02,-0.105
2016-04-08,100.975,99.68,0.4114,1.295,0.1,0.185
2016-04-11,101.04,99.745,0.3881,1.295,0.07,0.105
2016-04-12,101.0,99.75,0.384,1.25,-0.065,-0.01
2016-04-13,100.74,99.55,0.3092,1.19,-0.23,-0.155
2016-04-14,100.42,99.265,0.2902,1.155,-0.33,-0.25
2016-04-15,100.635,99.485,0.2816,1.15,0.15,0.22
2016-04-18,100.71,99.505,0.2789,1.205,0.105,0.005
2016-04-19,100.715,99.58,0.2669,1.135,0.05,0.095
2016-04-20,100.535,99.295,0.2289,1.24,-0.065,-0.155
2016-04-21,100.52,99.305,0.2186,1.215,0.005,0.08
2016-04-22,100.58,99.385,0.2136,1.195,0.04,0.03
2016-04-25,100.375,99.05,0.1379,1.325,-0.165,-0.255
2016-04-26,100.585,99.345,0.1577,1.24,0.22,0.195
2016-04-27,100.54,99.345,0.1774,1.195,-0.08,-0.06
2016-04-28,99.835,99.61,0.1427,0.225,0.14,0.175
2016-04-29,99.635,99.515,0.1631,0.12,-0.12,-0.035
2016-05-03,99.88,99.75,0.1798,0.13,0.03,0.11
2016-05-04,99.95,99.845,0.1775,0.105,0.065,0.115
2016-05-05,99.97,98.405,0.1823,1.565,0.02,0.025
