date,open,high,low,close
 2016/10/25,101.59,101.69,101.435,101.5
 2016/10/26,101.3,101.5,101.175,101.285
 2016/10/27,101.305,101.56,101.24,101.52
 2016/10/28,101.49,101.6,101.4,101.56
 2016/10/31,101.5,101.5,101.215,101.245
 2016/11/01,101.185,101.395,101.15,101.33
 2016/11/02,101.35,101.45,101.26,101.365
 2016/11/03,101.445,101.59,101.385,101.53
 2016/11/04,101.52,101.59,101.42,101.535
 2016/11/07,101.475,101.505,101.27,101.295
 2016/11/08,101.27,101.305,101.08,101.24
 2016/11/09,100.39,100.75,100.29,100.415
 2016/11/10,100.225,100.3,100.06,100.085
 2016/11/11,100.075,100.075,99.825,99.87
 2016/11/14,99.98,100.07,99.62,99.67
 2016/11/15,99.72,99.855,99.44,99.84
 2016/11/16,99.8,99.945,99.61,99.61
 2016/11/17,99.58,99.76,99.49,99.495
 2016/11/18,99.405,99.67,99.355,99.44
 2016/11/21,99.49,99.65,99.47,99.535
 2016/11/22,99.635,99.775,99.47,99.55
 2016/11/23,99.595,99.865,99.495,99.845
 2016/11/24,99.75,99.79,99.64,99.695
 2016/11/25,99.665,99.705,99.52,99.58
 2016/11/28,99.61,99.775,99.595,99.595
 2016/11/29,99.55,99.56,98.8,98.93
 2016/11/30,98.85,99.09,98.42,98.855
 2016/12/01,98.605,98.725,98.115,98.185
 2016/12/02,98.135,98.45,98.135,98.255
 2016/12/05,98.3,98.395,97.95,97.98
 2016/12/06,97.82,97.85,97.25,97.58
 2016/12/07,97.735,97.885,97.445,97.755
 2016/12/08,97.94,98.22,97.685,97.805
 2016/12/09,97.7,97.88,97.605,97.705
 2016/12/12,97.395,97.445,96.675,96.685
 2016/12/13,96.695,96.845,96.47,96.53
 2016/12/14,96.755,96.865,96.2,96.27
 2016/12/15,95.27,96.1,94.375,94.555
 2016/12/16,94.63,96,94.2,95.86
 2016/12/19,95.47,95.65,94.36,94.67
 2016/12/20,94,94.97,93.48,94.75
 2016/12/21,95.375,96.52,95.18,96.245
 2016/12/22,96.39,96.99,96.08,96.98
 2016/12/23,96.85,96.97,96.39,96.57
 2016/12/26,96.3,96.8,96.16,96.65
 2016/12/27,96.605,96.67,96.06,96.195
 2016/12/28,96.105,96.73,96.01,96.635
 2016/12/29,96.63,97.675,96.61,97.675
 2016/12/30,97.71,97.98,97.23,97.32
