date,close-5y,close-10y,10y-5y,5f-10f
2016/4/20,100.535,99.295,0.2289,1.24
2016/4/21,100.52,99.305,0.2186,1.215
2016/4/22,100.58,99.385,0.2136,1.195
2016/4/25,100.375,99.05,0.1379,1.325
2016/4/26,100.585,99.345,0.1577,1.24
2016/4/27,100.54,99.345,0.1774,1.195
2016/4/28,99.835,99.61,0.1427,0.225
2016/4/29,99.635,99.515,0.1631,0.12
2016/5/3,99.88,99.75,0.1798,0.13
2016/5/4,99.95,99.845,0.1775,0.105
2016/5/5,99.97,98.405,0.1823,1.565
2016/5/6,99.955,98.465,0.1773,1.49
2016/5/9,100.285,99.17,0.1923,1.115
2016/5/10,100.335,99.24,0.2049,1.095
2016/5/11,100.29,99.195,0.1938,1.095
2016/5/12,100.45,99.49,0.1957,0.96
2016/5/13,100.355,99.37,0.2027,0.985
2016/5/16,100.24,98.99,0.2155,1.25
2016/5/17,100.23,99.01,0.2099,1.22
2016/5/18,100.08,98.795,0.1889,1.285
2016/5/19,100.125,98.845,0.1937,1.28
2016/5/20,100.245,99.095,0.2092,1.15
2016/5/23,100.215,99.075,0.2029,1.14
2016/5/24,100.355,99.29,0.1879,1.065
2016/5/25,100.355,99.27,0.1948,1.085
2016/5/26,100.265,99.14,0.183,1.125
2016/5/27,100.22,99.07,0.1858,1.15
2016/5/30,100.165,98.93,0.2215,1.235
2016/5/31,100.32,99.145,0.2338,1.175
2016/6/1,100.315,99.075,0.2433,1.24
2016/6/2,100.22,98.945,0.2478,1.275
2016/6/3,100.27,98.985,0.2319,1.285
2016/6/6,100.33,99.04,0.2331,1.29
2016/6/7,100.27,98.955,0.2256,1.315
2016/6/8,100.19,98.94,0.1916,1.25
2016/6/13,100.34,99.19,0.1839,1.15
2016/6/14,100.475,99.41,0.1836,1.065
2016/6/15,100.48,99.485,0.186,0.995
2016/6/16,100.675,99.795,0.1843,0.88
2016/6/17,100.64,99.73,0.1768,0.91
2016/6/20,100.635,99.715,0.1776,0.92
2016/6/21,100.725,99.835,0.167,0.89
2016/6/22,100.715,99.88,0.1797,0.835
2016/6/23,100.72,99.865,0.181,0.855
2016/6/24,100.885,100.165,0.1729,0.72
