,open,close,high,low,volume,money
2007-02-01,1.11,1.17,1.18,1.11,8698968.0,9944115.0
2007-02-02,1.17,1.19,1.23,1.16,11056123.0,13266594.0
2007-02-05,1.2,1.22,1.29,1.19,10419354.0,12903807.0
2007-02-06,1.23,1.22,1.24,1.19,5612156.0,6815259.0
2007-02-07,1.21,1.25,1.26,1.21,6148764.0,7573301.0
2007-02-08,1.25,1.24,1.26,1.22,5113778.0,6339860.0
2007-02-09,1.25,1.25,1.28,1.22,4825110.0,6056653.0
2007-02-12,1.25,1.29,1.3,1.25,6517251.0,8355845.0
2007-02-13,1.29,1.34,1.34,1.28,7281744.0,9651373.0
2007-02-14,1.34,1.39,1.39,1.34,7814820.0,10777724.0
2007-02-15,1.39,1.52,1.52,1.39,18642078.0,28163972.0
2007-02-16,1.5,1.68,1.68,1.5,16195707.0,26456411.0
2007-02-26,1.73,1.84,1.84,1.68,21895547.0,39086790.0
2007-02-27,1.84,1.84,1.84,1.84,0.0,0.0
2007-02-28,1.84,1.84,1.84,1.84,0.0,0.0
2007-03-01,1.84,1.84,1.84,1.84,0.0,0.0
2007-03-02,1.84,1.84,1.84,1.84,0.0,0.0
2007-03-05,1.84,1.84,1.84,1.84,0.0,0.0
2007-03-06,1.91,2.03,2.03,1.7,30991147.0,59440785.0
2007-03-07,2.03,2.05,2.18,1.95,35533927.0,72688322.0
2007-03-08,2.05,2.06,2.12,1.98,17866224.0,36695703.0
2007-03-09,2.06,2.26,2.26,2.05,19991468.0,43332869.0
2007-03-12,2.39,2.42,2.49,2.31,29290211.0,70785688.0
2007-03-13,2.42,2.37,2.47,2.32,15368585.0,36728960.0
2007-03-14,2.35,2.31,2.42,2.16,15887345.0,36486783.0
2007-03-15,2.28,2.3,2.42,2.26,13075888.0,30492758.0
2007-03-16,2.32,2.21,2.35,2.18,12964952.0,29298424.0
2007-03-19,2.15,2.24,2.28,2.1,17225052.0,38174264.0
2007-03-20,2.24,2.46,2.46,2.23,22986840.0,55285391.0
2007-03-21,2.57,2.42,2.6,2.38,21077698.0,52285878.0
2007-03-22,2.4,2.37,2.5,2.34,15598173.0,37348503.0
2007-03-23,2.42,2.31,2.42,2.23,15802834.0,36325658.0
2007-03-26,2.29,2.43,2.43,2.22,21680919.0,50596847.0
2007-03-27,2.42,2.52,2.63,2.37,20964893.0,53171858.0
2007-03-28,2.51,2.77,2.77,2.43,23892427.0,61426555.0
2007-03-29,2.81,2.85,3.05,2.74,34831871.0,100547094.0
2007-03-30,2.84,3.06,3.13,2.69,19506474.0,58349618.0
2007-04-02,3.09,3.36,3.36,3.08,25314984.0,83133551.0
2007-04-03,3.45,3.27,3.47,3.23,23638169.0,78230209.0
2007-04-04,3.27,3.27,3.27,3.27,0.0,0.0
2007-04-05,3.39,3.6,3.6,3.36,10796174.0,38261640.0
2007-04-06,3.87,3.92,3.95,3.63,23837222.0,91605109.0
2007-04-09,3.93,4.31,4.31,3.93,23959114.0,100650370.0
2007-04-10,4.36,4.64,4.72,4.31,30701501.0,139410633.0
2007-04-11,4.68,4.64,4.97,4.37,41065018.0,193942644.0
2007-04-12,4.55,4.61,4.73,4.39,27439022.0,126557501.0
2007-04-13,4.7,5.07,5.07,4.68,30593017.0,151619163.0
2007-04-16,5.07,5.07,5.07,5.07,0.0,0.0
2007-04-17,5.07,5.07,5.07,5.07,0.0,0.0
2007-04-18,5.07,5.07,5.07,5.07,0.0,0.0
2007-04-19,5.07,5.07,5.07,5.07,0.0,0.0
2007-04-20,5.07,5.07,5.07,5.07,0.0,0.0
